|  Benchmark   |           classic            |          recursive           |           Strassen           | size_classic |
|--------------------------------------------------------------------------------------------------------------------------|
|   size 1x1   | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      32      |
|   size 2x2   | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      32      |
|   size 4x4   | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      32      |
|   size 8x8   | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      32      |
|  size 16x16  | 0.003119  0.006975  0.000000 | 0.003125  0.006988  0.000000 | 0.002003  0.004478  0.000000 |      32      |
|  size 32x32  | 0.010581  0.007236  0.000000 | 0.012576  0.007035  0.000000 | 0.009518  0.008693  0.000000 |      32      |
|  size 64x64  | 0.084754  0.018178  0.083211 | 0.072288  0.008991  0.071825 | 0.065895  0.005579  0.065718 |      32      |
| size 128x128 | 0.538630  0.019340  0.538354 | 0.565654  0.010918  0.565570 | 0.467822  0.007030  0.467779 |      32      |

|  Benchmark   |           classic            |          recursive           |           Strassen           | size_classic |
|--------------------------------------------------------------------------------------------------------------------------|
|   size 1x1   | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      16      |
|   size 2x2   | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      16      |
|   size 4x4   | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      16      |
|   size 8x8   | 0.003133  0.007006  0.000000 | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 |      16      |
|  size 16x16  | 0.000000  0.000000  0.000000 | 0.000000  0.000000  0.000000 | 0.003119  0.006975  0.000000 |      16      |
|  size 32x32  | 0.009374  0.008557  0.000000 | 0.009467  0.008644  0.000000 | 0.009509  0.008684  0.000000 |      16      |
|  size 64x64  | 0.135094  0.030745  0.132168 | 0.100290  0.017794  0.099041 | 0.075544  0.012769  0.074703 |      16      |
| size 128x128 | 0.562008  0.028308  0.561438 | 0.618481  0.014134  0.618354 | 0.515253  0.013473  0.515113 |      16      |

|   Benchmark    |              classic              |             recursive             |             Strassen             | size_classic |
|------------------------------------------------------------------------------------------------------------------------------------------|
|    size 1x1    |    0.000000  0.000000  0.000000   |    0.000000  0.000000  0.000000   |   0.000000  0.000000  0.000000   |      8       |
|    size 2x2    |    0.000000  0.000000  0.000000   |    0.000000  0.000000  0.000000   |   0.000000  0.000000  0.000000   |      8       |
|    size 4x4    |    0.001904  0.004257  0.000000   |    0.000000  0.000000  0.000000   |   0.000000  0.000000  0.000000   |      8       |
|    size 8x8    |    0.000000  0.000000  0.000000   |    0.000000  0.000000  0.000000   |   0.000000  0.000000  0.000000   |      8       |
|   size 16x16   |    0.000000  0.000000  0.000000   |    0.003128  0.006995  0.000000   |   0.000000  0.000000  0.000000   |      8       |
|   size 32x32   |    0.009380  0.008562  0.000000   |    0.012587  0.007039  0.000000   |   0.013017  0.008056  0.000000   |      8       |
|   size 64x64   |    0.069009  0.007622  0.068680   |    0.091140  0.007003  0.090908   |   0.084794  0.008683  0.084446   |      8       |
|  size 128x128  |    0.540281  0.008205  0.540231   |    0.725723  0.005804  0.725704   |   0.622061  0.008639  0.622013   |      8       |
|  size 256x256  |    4.278784  0.020708  4.278744   |    5.931477  0.128663  5.930380   |   4.655796  0.156038  4.653718   |      8       |
|  size 512x512  |   38.076919  0.300017  38.075976  |   51.518555  0.185733  51.518287  |  33.109231  0.356079  33.107701  |      8       |
| size 1024x1024 | 382.016389  52.274902  379.282772 | 442.224842  16.145544  441.996239 | 238.700682  0.852294  238.699465 |      8       |
